Hyperparameters,Mean F1 Score,Mean F1 Score on 'deceased',Mean Accuracy
"{'learning_rate': 0.001, 'max_features': 3, 'n_estimators': 100}",0.7956025689564761,0.7036295861962477,0.7991338741866445
"{'learning_rate': 0.001, 'max_features': 3, 'n_estimators': 200}",0.7955715607997246,0.7041996592783492,0.7989325720572643
"{'learning_rate': 0.001, 'max_features': 3, 'n_estimators': 300}",0.7955547525074184,0.7044503962168506,0.7989828960052019
"{'learning_rate': 0.001, 'max_features': 6, 'n_estimators': 100}",0.7956025689564761,0.7036295861962477,0.7991338741866445
"{'learning_rate': 0.001, 'max_features': 6, 'n_estimators': 200}",0.7955715607997246,0.7041996592783492,0.7989325720572643
"{'learning_rate': 0.001, 'max_features': 6, 'n_estimators': 300}",0.7955547525074184,0.7044503962168506,0.7989828960052019
"{'learning_rate': 0.001, 'max_features': 9, 'n_estimators': 100}",0.7956025689564761,0.7036295861962477,0.7991338741866445
"{'learning_rate': 0.001, 'max_features': 9, 'n_estimators': 200}",0.7955715607997246,0.7041996592783492,0.7989325720572643
"{'learning_rate': 0.001, 'max_features': 9, 'n_estimators': 300}",0.7955547525074184,0.7044503962168506,0.7989828960052019
"{'learning_rate': 0.01, 'max_features': 3, 'n_estimators': 100}",0.7990276854373601,0.7084836006274045,0.8024318086897775
"{'learning_rate': 0.01, 'max_features': 3, 'n_estimators': 200}",0.8026429063392089,0.7133841037002412,0.805981290049858
"{'learning_rate': 0.01, 'max_features': 3, 'n_estimators': 300}",0.8039194867417787,0.7147060039372345,0.8073406957576541
"{'learning_rate': 0.01, 'max_features': 6, 'n_estimators': 100}",0.7990276854373601,0.7084836006274045,0.8024318086897775
"{'learning_rate': 0.01, 'max_features': 6, 'n_estimators': 200}",0.8026429063392089,0.7133841037002412,0.805981290049858
"{'learning_rate': 0.01, 'max_features': 6, 'n_estimators': 300}",0.8039194867417787,0.7147060039372345,0.8073406957576541
"{'learning_rate': 0.01, 'max_features': 9, 'n_estimators': 100}",0.7990276854373601,0.7084836006274045,0.8024318086897775
"{'learning_rate': 0.01, 'max_features': 9, 'n_estimators': 200}",0.8026429063392089,0.7133841037002412,0.805981290049858
"{'learning_rate': 0.01, 'max_features': 9, 'n_estimators': 300}",0.8039194867417787,0.7147060039372345,0.8073406957576541
"{'learning_rate': 0.1, 'max_features': 3, 'n_estimators': 100}",0.8110948479606244,0.7255844641441753,0.814037120764166
"{'learning_rate': 0.1, 'max_features': 3, 'n_estimators': 200}",0.8176553570138413,0.7367384744174915,0.8201041874620139
"{'learning_rate': 0.1, 'max_features': 3, 'n_estimators': 300}",0.8207214000325355,0.7420501023981989,0.8227474543326256
"{'learning_rate': 0.1, 'max_features': 6, 'n_estimators': 100}",0.8110948479606244,0.7255844641441753,0.814037120764166
"{'learning_rate': 0.1, 'max_features': 6, 'n_estimators': 200}",0.8176553570138413,0.7367384744174915,0.8201041874620139
"{'learning_rate': 0.1, 'max_features': 6, 'n_estimators': 300}",0.8207214000325355,0.7420501023981989,0.8227474543326256
"{'learning_rate': 0.1, 'max_features': 9, 'n_estimators': 100}",0.8110948479606244,0.7255844641441753,0.814037120764166
"{'learning_rate': 0.1, 'max_features': 9, 'n_estimators': 200}",0.8176553570138413,0.7367384744174915,0.8201041874620139
"{'learning_rate': 0.1, 'max_features': 9, 'n_estimators': 300}",0.8207214000325355,0.7420501023981989,0.8227474543326256
